0,,,
1,00000008.258000,00000008.251000,00000008.549290
25,00000000.367496,00000000.356793,00000000.402044
24,00000000.405130,00000000.370930,00000000.419466
23,00000000.417983,00000000.388690,00000000.435069
22,00000000.426804,00000000.402057,00000000.452489
21,00000000.431058,00000000.424102,00000000.471095
20,00000000.460302,00000000.448960,00000000.499161
19,00000000.479004,00000000.461902,00000000.509015
18,00000000.511156,00000000.496405,00000000.553408
17,00000000.543539,00000000.523286,00000000.595512
16,00000000.555861,00000000.543355,00000000.563978
15,00000000.592940,00000000.579530,00000000.635834
14,00000000.639502,00000000.622326,00000000.692873
13,00000000.680524,00000000.666042,00000000.768836
12,00000000.738367,00000000.719341,00000000.793604
11,00000000.801558,00000000.784434,00000000.897222
10,00000000.864599,00000000.856283,00000000.942522
9,00000000.960333,00000000.947187,00000000.970946
8,00000001.067210,00000001.061790,00000001.089740
7,00000001.212010,00000001.208950,00000001.231140
6,00000001.407000,00000001.404680,00000001.426050
5,00000001.682370,00000001.676950,00000001.716340
4,00000002.093540,00000002.090210,00000002.127940
3,00000002.779150,00000002.773500,00000002.819020
2,00000004.169850,00000004.147750,00000004.216320
1,00000008.258290,00000008.251520,00000008.304730
25,00000000.403946,00000000.396792,00000000.417223
24,00000000.420446,00000000.415009,00000000.434155
23,00000000.443052,00000000.435317,00000000.453974
22,00000000.470546,00000000.456977,00000000.475130
21,00000000.483379,00000000.474646,00000000.496206
20,00000000.504594,00000000.498887,00000000.518611
19,00000000.532493,00000000.527129,00000000.546130
18,00000000.557343,00000000.540570,00000000.576016
17,00000000.593155,00000000.583563,00000000.611446
16,00000000.626631,00000000.619956,00000000.645408
15,00000000.668299,00000000.632322,00000000.681450
14,00000000.716395,00000000.680547,00000000.733269
13,00000000.766944,00000000.715675,00000000.783243
12,00000000.831723,00000000.768934,00000000.848908
11,00000000.903454,00000000.835652,00000000.912126
10,00000000.981202,00000000.923207,00000001.011570
9,00000001.081460,00000000.999515,00000001.100340
8,00000001.218510,00000001.143850,00000001.237690
7,00000001.363660,00000001.217540,00000001.386670
6,00000001.528610,00000001.417680,00000001.599380
5,00000001.786330,00000001.680450,00000001.948250
4,00000002.165440,00000002.093330,00000002.322410
3,00000002.853200,00000002.788330,00000003.067000
2,00000004.204570,00000004.154410,00000004.351680
1,00000008.258400,00000008.250860,00000008.359250
25,00000000.406130,00000000.396979,00000000.417290
24,00000000.419120,00000000.413466,00000000.435548
23,00000000.452224,00000000.437400,00000000.453829
22,00000000.461531,00000000.452265,00000000.472325
21,00000000.482023,00000000.473207,00000000.497704
0,,,
1,00000008.255970,00000008.251400,00000008.313130
