20,00000017.561000,00000017.548100,00000018.368900
19,00000025.136900,00000025.108000,00000025.202700
18,00000025.325100,00000025.298200,00000025.410600
17,00000026.017100,00000026.004500,00000026.111000
16,00000025.444000,00000025.412500,00000025.571100
15,00000027.960400,00000027.943000,00000028.060700
14,00000028.414900,00000028.387200,00000028.528100
13,00000029.036900,00000029.017700,00000029.180500
12,00000029.065400,00000029.001100,00000029.310200
11,00000030.060600,00000030.029700,00000030.159300
10,00000030.889600,00000030.882200,00000031.039000
9,00000047.208000,00000047.163100,00000047.497100
8,00000047.043900,00000047.019400,00000047.104300
7,00000053.444600,00000053.356000,00000053.525000
6,00000053.074800,00000053.020200,00000053.112600
5,00000063.642300,00000063.489900,00000063.785600
4,00000086.339900,00000085.954000,00000086.677100
3,00000098.715200,00000098.425400,00000098.859600
2,00000139.748000,00000138.815000,00000140.565000
1,00000250.692000,00000250.617000,00000250.895000
