25,00000012.433100,00000012.424100,00000012.442900
24,00000012.920400,00000012.910200,00000012.923400
23,00000013.454000,00000013.444400,00000013.457900
22,00000014.016300,00000014.004500,00000014.022800
21,00000014.648400,00000014.637600,00000014.654700
20,00000015.310900,00000015.300500,00000015.327200
19,00000016.069700,00000016.061700,00000016.084600
18,00000017.070400,00000017.062000,00000017.111500
17,00000018.053700,00000018.050200,00000018.059000
16,00000018.670100,00000018.659500,00000018.906100
15,00000019.788800,00000019.783200,00000019.812100
14,00000021.203100,00000021.196400,00000021.230200
13,00000022.833000,00000022.825200,00000022.842300
12,00000022.906300,00000022.790000,00000023.719900
11,00000024.608800,00000024.597000,00000024.685000
10,00000027.055300,00000027.045400,00000027.110100
9,00000030.053200,00000030.045600,00000030.089200
8,00000033.799300,00000033.785500,00000033.837100
7,00000038.628300,00000038.616800,00000038.652500
6,00000045.053400,00000045.031900,00000045.075400
5,00000054.064400,00000054.042100,00000054.081000
4,00000066.394900,00000066.028000,00000066.779100
3,00000087.538200,00000087.468800,00000087.576500
2,00000126.790000,00000126.219000,00000127.743000
1,00000248.489000,00000248.435000,00000248.568000
