20,00000015.269500,00000015.254900,00000015.281900
19,00000016.045400,00000016.035100,00000016.065300
18,00000017.002200,00000016.990700,00000017.010000
17,00000017.984200,00000017.977900,00000017.999400
16,00000018.604500,00000018.582000,00000018.653300
15,00000019.709400,00000019.701400,00000019.727000
14,00000021.117700,00000021.113500,00000021.134800
13,00000022.740700,00000022.730800,00000022.758100
12,00000022.880600,00000022.680300,00000023.453200
11,00000024.508400,00000024.494700,00000024.570300
10,00000026.940300,00000026.934500,00000027.035200
9,00000029.922700,00000029.912100,00000029.974400
8,00000033.663000,00000033.651300,00000033.685200
7,00000038.459400,00000038.447900,00000038.497900
6,00000044.874000,00000044.843400,00000045.045900
5,00000053.836700,00000053.813700,00000053.860400
4,00000066.024000,00000065.796200,00000066.354500
3,00000087.209600,00000087.178400,00000087.229900
2,00000126.699000,00000125.833000,00000127.402000
1,00000247.394000,00000247.339000,00000247.808000
